profondeur,type_roche,ph,conductivite,distance_faille,humidite,teneur_or
152.28,Schiste,4.52,388.53,60.57,16.35,16.36
442.3,Schiste,4.5,245.76,203.21,6.26,10.36
82.04,Gabbro,6.63,396.59,491.26,27.88,10.75
358.34,Calcaire,4.63,46.02,368.15,22.19,3.91
486.95,Basalte,8.89,103.88,410.91,29.45,7.17
397.38,Calcaire,5.5,280.25,781.45,7.27,0.61
129.04,Schiste,6.63,474.07,14.68,23.64,21.01
455.1,Calcaire,4.78,46.63,660.49,12.43,0.0
55.62,Schiste,6.85,31.11,0.11,32.1,8.9
239.39,Gabbro,6.21,86.71,63.06,8.3,7.98
444.9,Gabbro,4.7,324.17,408.29,30.29,14.6
324.22,Gabbro,6.01,205.51,840.95,7.66,0.0
212.69,Basalte,6.26,414.52,145.0,5.75,14.8
153.48,Basalte,8.95,45.25,554.62,12.05,0.0
193.8,Schiste,5.44,106.24,678.51,14.99,0.0
259.38,Granit,6.95,157.01,229.53,23.8,8.23
166.33,Basalte,8.94,317.1,512.33,8.95,4.01
484.79,Schiste,8.06,345.73,911.41,18.12,1.58
467.21,Calcaire,8.97,70.86,512.23,11.13,0.83
436.63,Gabbro,8.86,472.46,157.32,30.66,23.85
216.7,Gabbro,6.7,177.11,627.81,6.35,0.0
348.74,Gabbro,7.63,359.45,592.2,15.68,7.73
452.39,Schiste,5.0,266.86,26.95,23.94,17.75
426.71,Gabbro,6.49,119.15,90.59,32.39,15.53
213.02,Basalte,8.14,424.65,156.78,31.04,19.09
65.07,Calcaire,6.77,410.94,136.29,31.86,19.16
47.06,Gabbro,7.66,204.08,259.47,6.89,5.7
292.76,Schiste,7.86,298.42,454.11,30.23,9.86
324.89,Calcaire,5.64,136.33,371.72,28.4,7.94
426.42,Gabbro,8.44,348.03,890.65,32.07,5.63
153.33,Granit,6.57,161.42,612.11,14.35,0.0
92.06,Gabbro,5.45,423.6,876.14,32.35,5.03
195.71,Basalte,8.39,116.52,527.04,17.08,0.13
183.25,Calcaire,6.38,17.25,89.87,24.02,7.52
74.91,Basalte,7.88,141.57,463.29,17.73,0.3
339.42,Granit,6.97,103.62,822.03,17.83,0.0
259.26,Granit,6.22,259.06,194.1,21.4,11.06
363.35,Basalte,8.14,109.81,91.21,15.68,9.77
182.82,Calcaire,7.13,383.96,329.43,28.78,14.99
169.59,Granit,6.26,128.27,388.9,24.01,3.15
241.56,Granit,4.99,356.41,306.26,25.69,12.65
439.93,Gabbro,8.53,293.45,135.24,11.93,15.79
29.74,Schiste,4.66,493.26,250.84,34.09,18.51
404.37,Granit,8.38,499.95,682.28,24.81,10.48
190.8,Calcaire,6.12,436.07,385.93,10.92,11.42
428.76,Calcaire,7.38,382.39,632.55,27.51,10.7
403.08,Gabbro,8.65,199.36,536.3,10.21,4.01
180.89,Calcaire,5.18,379.11,549.05,6.9,5.59
350.0,Gabbro,7.05,478.77,248.55,20.83,19.86
88.22,Granit,7.94,21.46,521.54,21.61,0.0
449.18,Granit,7.91,273.58,23.59,10.67,14.91
208.2,Granit,6.87,116.82,431.74,15.45,0.34
233.26,Granit,7.31,283.36,572.62,33.37,6.81
355.82,Schiste,7.91,238.56,182.0,13.55,11.09
412.21,Schiste,8.28,292.13,256.56,9.67,10.67
125.81,Granit,7.93,279.97,219.53,34.78,12.56
334.06,Calcaire,6.09,480.45,70.56,14.07,21.25
202.08,Gabbro,8.99,280.57,347.86,25.41,11.09
190.66,Basalte,6.46,424.65,978.97,11.95,0.0
348.11,Gabbro,4.61,166.71,353.88,21.5,8.08
199.72,Basalte,6.13,224.67,460.54,16.59,4.93
179.59,Basalte,5.08,240.5,653.09,33.85,4.87
419.59,Granit,5.05,146.58,648.5,17.98,0.37
59.63,Basalte,5.77,196.1,949.89,22.53,0.0
341.19,Granit,4.74,303.27,857.56,33.34,2.74
131.88,Schiste,7.6,294.29,793.95,34.68,2.11
17.59,Calcaire,4.83,321.85,951.63,8.05,0.0
91.71,Basalte,5.41,182.39,230.77,30.03,9.39
307.26,Calcaire,4.92,164.76,617.05,16.46,1.67
357.47,Granit,4.78,309.69,887.2,22.84,0.22
20.32,Basalte,5.7,75.1,624.14,16.25,0.0
27.85,Gabbro,7.07,133.99,977.42,17.03,0.0
452.25,Schiste,8.84,30.64,100.35,9.77,5.97
45.92,Schiste,8.44,45.58,439.33,22.18,0.0
448.15,Basalte,8.44,129.26,977.36,21.4,0.0
121.8,Schiste,5.29,19.57,379.57,10.68,0.0
372.61,Gabbro,5.69,130.25,739.56,21.25,0.0
161.77,Calcaire,4.84,330.94,30.4,34.19,20.58
430.79,Gabbro,8.0,39.94,694.84,26.43,0.0
353.22,Schiste,4.81,224.0,934.63,19.43,0.0
206.89,Calcaire,7.01,457.42,382.71,32.48,16.98
47.39,Gabbro,5.62,397.73,21.3,22.26,19.3
369.02,Granit,5.6,159.66,27.91,9.05,10.96
312.27,Granit,8.96,463.15,892.02,21.43,3.64
11.43,Calcaire,7.91,171.53,722.52,10.43,0.0
14.62,Calcaire,8.27,45.53,106.69,28.03,7.24
406.31,Calcaire,7.07,497.09,54.59,34.02,27.15
137.11,Granit,8.42,436.31,804.83,15.82,1.76
321.71,Gabbro,7.4,238.31,809.86,18.05,0.17
232.57,Calcaire,8.76,336.52,120.52,17.64,15.11
433.08,Granit,5.77,338.9,301.52,13.56,11.82
459.31,Calcaire,7.18,105.3,780.03,28.83,0.0
498.44,Calcaire,7.61,108.02,525.41,23.53,4.61
85.31,Calcaire,6.27,240.09,956.58,6.92,0.0
432.85,Granit,8.46,456.67,481.06,30.16,14.7
140.35,Gabbro,8.91,14.9,676.96,10.61,0.0
299.5,Granit,6.72,393.43,509.78,34.37,11.62
257.83,Granit,6.26,38.19,942.97,16.3,0.0
18.81,Calcaire,6.62,244.33,398.66,23.49,6.76
467.06,Basalte,8.34,322.56,229.8,7.33,12.53
48.38,Basalte,7.4,346.51,326.63,15.34,8.54
347.23,Basalte,4.7,38.65,852.78,29.07,0.0
394.65,Granit,6.94,215.12,497.94,19.32,5.19
399.69,Calcaire,4.58,296.08,354.25,32.14,14.74
76.39,Basalte,8.0,42.36,544.26,22.25,0.0
229.31,Schiste,5.98,76.2,133.23,32.86,10.0
416.42,Schiste,6.62,335.19,5.36,34.48,21.87
158.31,Schiste,8.09,265.6,280.58,18.62,9.1
239.2,Gabbro,4.71,89.3,605.01,21.95,0.26
143.67,Calcaire,5.21,272.27,711.68,30.05,3.6
237.14,Granit,6.29,457.22,826.61,11.65,2.7
445.04,Granit,5.53,17.64,926.66,30.85,0.0
233.01,Calcaire,6.02,324.89,412.11,22.76,10.13
282.4,Gabbro,8.99,46.09,740.52,26.77,0.0
207.95,Calcaire,8.21,13.16,74.67,7.4,3.96
235.46,Gabbro,8.48,83.82,57.53,27.99,11.64
17.44,Basalte,8.72,217.22,124.8,14.32,8.53
149.04,Basalte,6.03,403.15,448.57,29.16,12.59
223.93,Gabbro,5.84,148.07,211.28,20.27,9.15
320.56,Calcaire,5.55,316.58,286.92,13.24,11.9
230.53,Basalte,8.24,211.47,647.88,33.58,3.71
175.53,Calcaire,7.56,124.82,358.52,27.95,5.6
200.17,Basalte,5.56,261.98,557.37,34.57,7.79
128.72,Calcaire,6.2,400.76,412.4,15.93,10.09
463.0,Calcaire,6.78,417.92,168.97,24.48,20.85
265.65,Schiste,6.88,424.79,74.02,23.35,19.3
16.57,Gabbro,8.5,175.89,236.23,25.63,8.75
19.53,Granit,6.21,398.79,57.7,6.15,13.04
486.75,Gabbro,8.59,113.97,618.61,13.75,1.15
118.51,Calcaire,6.49,371.83,795.72,32.28,4.89
404.75,Calcaire,7.86,474.71,339.74,17.71,17.34
38.55,Gabbro,8.69,16.73,387.11,33.82,2.2
461.37,Calcaire,8.58,225.78,816.19,11.41,0.0
438.46,Basalte,4.76,327.41,222.61,34.92,18.16
289.84,Calcaire,5.43,353.87,119.16,25.93,18.26
14.41,Gabbro,6.65,96.28,501.12,28.29,1.24
136.33,Gabbro,6.44,486.37,646.19,16.91,9.37
209.34,Gabbro,7.38,311.48,599.65,32.21,8.15
235.43,Schiste,8.75,90.53,713.87,21.36,0.0
155.86,Schiste,5.01,20.06,56.75,25.43,7.78
26.14,Schiste,6.53,393.8,428.2,7.84,6.55
299.16,Schiste,5.37,49.06,238.57,23.95,5.49
266.84,Schiste,8.52,79.11,759.12,31.37,0.0
148.67,Schiste,8.84,291.67,872.73,10.35,0.0
28.61,Schiste,6.65,305.72,281.34,27.13,10.0
497.35,Gabbro,4.97,346.57,95.22,5.76,17.57
246.17,Granit,8.03,202.82,253.43,32.79,10.62
380.44,Schiste,7.64,389.21,104.01,34.49,21.34
231.63,Gabbro,6.1,487.44,322.42,15.63,15.84
31.15,Granit,8.49,142.84,538.2,8.21,0.0
161.7,Schiste,8.89,354.48,973.68,24.76,0.0
166.85,Granit,7.01,464.95,399.37,5.9,9.71
420.79,Granit,7.05,346.28,220.04,19.47,15.09
330.57,Basalte,5.84,343.74,166.8,13.15,14.2
144.96,Calcaire,7.13,119.65,173.04,19.2,7.99
484.19,Basalte,6.48,272.21,192.6,5.55,11.66
167.56,Granit,5.86,285.64,762.27,6.55,0.0
499.13,Gabbro,4.8,353.06,61.03,5.48,18.17
498.12,Schiste,5.64,498.44,997.4,23.57,5.95
103.69,Calcaire,5.39,26.49,522.69,21.8,0.0
163.24,Schiste,6.94,41.96,544.27,11.99,0.0
248.16,Gabbro,7.21,48.2,357.56,24.4,3.92
335.41,Calcaire,7.24,374.06,690.26,31.53,8.74
268.74,Basalte,6.25,76.81,471.46,13.32,0.0
485.03,Granit,6.4,315.0,329.06,29.96,14.13
364.75,Gabbro,8.25,169.09,265.14,24.88,10.7
113.9,Granit,6.64,234.09,925.65,6.01,0.0
61.5,Granit,8.94,115.67,290.99,16.25,1.97
347.32,Schiste,6.48,434.39,436.39,20.23,13.31
87.64,Gabbro,7.42,297.21,350.34,26.95,11.19
395.96,Granit,4.73,472.84,86.18,13.61,19.73
162.41,Basalte,7.44,291.55,185.93,34.48,15.2
170.18,Calcaire,8.33,70.71,189.5,25.54,7.59
15.29,Gabbro,8.74,93.73,693.65,16.18,0.0
353.5,Schiste,8.99,494.65,406.59,7.91,12.62
65.5,Gabbro,5.77,365.53,781.97,10.44,1.17
388.71,Schiste,7.09,34.15,708.95,19.63,0.0
251.02,Calcaire,6.53,354.85,192.05,19.84,15.77
394.3,Basalte,7.04,211.96,562.92,28.03,5.76
296.12,Granit,5.21,160.53,742.91,26.79,0.0
50.39,Gabbro,8.35,85.49,633.04,11.04,0.0
385.17,Schiste,8.59,421.55,600.02,22.85,9.91
44.2,Calcaire,6.52,41.28,739.61,5.62,0.0
244.56,Granit,5.76,152.02,56.78,16.96,9.52
94.45,Calcaire,5.13,160.13,731.42,27.92,0.0
378.64,Basalte,7.58,88.84,272.66,16.99,5.92
456.68,Granit,5.91,259.01,571.87,30.07,7.97
281.52,Granit,8.59,15.73,242.3,34.28,6.18
268.3,Granit,7.52,157.48,838.82,23.22,0.0
384.34,Schiste,7.41,467.48,480.56,9.35,11.42
12.49,Granit,7.02,162.16,642.94,16.39,0.0
459.7,Calcaire,4.71,186.63,794.08,5.28,0.0
106.75,Schiste,8.69,241.85,895.32,23.08,0.0
492.22,Granit,7.33,285.23,732.06,29.65,5.59
370.76,Calcaire,8.97,406.27,148.77,23.9,19.61
389.38,Calcaire,6.92,103.26,854.53,28.58,0.0
331.54,Gabbro,7.7,437.16,618.58,29.0,12.64
241.11,Calcaire,4.75,381.2,609.45,30.53,10.31
290.1,Basalte,7.34,364.1,921.34,13.0,0.0
32.74,Granit,7.94,52.53,248.83,31.14,3.22
315.74,Granit,8.0,20.6,239.59,24.62,4.25
316.79,Granit,7.97,301.07,513.19,13.69,5.59
446.69,Calcaire,5.52,432.94,750.86,34.62,11.52
257.77,Calcaire,8.89,296.38,447.24,33.51,11.16
47.8,Granit,8.98,114.49,633.89,22.23,0.0
160.04,Schiste,4.84,54.35,452.52,30.3,1.88
331.26,Schiste,8.71,352.8,610.39,12.84,5.59
127.24,Basalte,5.8,363.67,822.26,17.48,0.75
147.46,Gabbro,7.6,94.54,180.48,10.52,5.58
412.03,Basalte,6.02,23.81,695.38,20.6,0.0
296.32,Granit,8.85,210.06,787.43,19.88,0.0
259.18,Granit,4.96,295.53,447.11,11.38,6.09
166.04,Granit,6.74,355.94,323.23,25.18,11.12
368.15,Gabbro,6.43,406.87,13.54,8.53,19.8
150.98,Calcaire,5.97,309.16,797.11,6.85,0.0
371.16,Gabbro,7.4,64.33,327.94,16.55,4.81
44.35,Basalte,5.09,344.47,357.31,17.29,9.36
433.63,Calcaire,7.72,492.25,336.01,14.59,17.19
254.79,Calcaire,8.91,453.74,498.74,12.74,11.03
224.87,Basalte,8.12,437.12,702.5,15.16,5.69
309.4,Calcaire,8.37,158.06,771.86,9.9,0.0
315.85,Schiste,6.12,377.89,392.57,17.1,11.68
74.7,Basalte,5.96,427.04,663.1,32.14,8.5
380.55,Basalte,6.83,342.38,720.68,11.73,3.48
145.2,Schiste,4.71,132.78,296.92,25.53,6.15
453.43,Gabbro,8.75,477.38,96.62,9.25,21.25
410.75,Gabbro,5.15,230.9,894.67,15.62,0.0
179.67,Gabbro,8.56,73.6,677.12,14.64,0.0
405.79,Calcaire,4.88,63.79,648.11,33.11,2.18
184.63,Schiste,8.2,327.28,58.9,17.84,14.6
59.46,Basalte,5.18,224.48,817.87,25.71,0.0
481.33,Basalte,4.67,56.3,566.05,23.07,1.24
329.77,Basalte,7.74,372.78,847.88,9.23,1.36
233.49,Calcaire,5.76,401.67,974.56,33.19,4.1
204.91,Calcaire,7.72,365.45,957.1,15.38,0.0
169.11,Gabbro,7.0,109.11,856.09,6.34,0.0
490.91,Calcaire,4.99,347.99,10.95,14.01,20.35
76.03,Gabbro,8.69,15.25,885.73,15.07,0.0
164.25,Gabbro,6.54,159.5,75.06,7.78,9.03
247.89,Basalte,7.81,205.42,851.19,23.6,0.0
244.22,Calcaire,6.75,419.27,280.17,15.4,14.42
240.97,Gabbro,7.22,201.29,610.07,23.87,3.77
96.13,Schiste,5.86,15.52,38.07,5.2,3.05
81.02,Schiste,5.4,182.65,771.18,34.46,0.0
134.84,Calcaire,6.94,254.47,111.71,10.12,10.56
458.12,Basalte,6.48,475.01,410.69,24.78,17.31
65.4,Basalte,6.26,471.11,817.45,26.47,5.82
381.14,Gabbro,7.53,98.63,695.35,10.15,0.0
381.2,Calcaire,7.61,100.72,6.04,8.35,10.5
406.79,Schiste,4.71,90.06,403.03,9.58,2.4
444.44,Gabbro,6.02,396.57,41.93,12.4,20.39
138.89,Gabbro,6.35,12.95,673.5,10.05,0.0
120.03,Granit,4.94,72.32,968.95,25.22,0.0
238.1,Calcaire,5.56,273.6,655.26,17.62,3.63
139.89,Gabbro,4.73,131.31,224.37,21.13,8.26
369.81,Schiste,8.98,55.25,355.23,6.42,0.06
321.61,Granit,7.81,186.34,976.65,30.84,0.0
438.74,Schiste,4.89,144.36,224.05,10.12,7.73
50.54,Basalte,4.59,260.44,561.53,15.8,1.98
458.39,Granit,7.74,489.82,400.45,7.16,12.73
153.74,Granit,6.48,70.91,768.32,9.1,0.0
250.44,Gabbro,8.04,192.64,867.39,24.97,0.0
224.92,Basalte,8.66,466.67,340.84,25.78,15.95
382.55,Gabbro,7.2,439.67,660.4,25.31,11.34
215.96,Calcaire,5.34,203.19,549.05,21.56,4.07
472.34,Schiste,8.02,352.49,278.44,33.58,17.32
452.24,Schiste,8.8,53.05,271.94,20.22,5.48
437.36,Gabbro,7.11,359.15,538.63,18.48,10.47
44.92,Schiste,7.57,486.7,154.0,12.43,15.71
428.59,Schiste,6.02,273.37,810.81,7.97,0.0
393.0,Calcaire,6.22,254.26,69.0,21.44,16.21
60.72,Basalte,7.81,101.79,94.57,14.45,6.31
62.63,Granit,8.67,320.56,342.23,20.72,7.92
59.57,Gabbro,7.33,299.31,118.09,11.18,12.31
15.55,Gabbro,8.05,329.45,475.7,30.15,8.87
278.83,Calcaire,5.27,22.78,399.68,34.99,5.25
486.96,Calcaire,5.45,278.87,721.81,14.67,3.59
224.96,Granit,6.89,301.52,953.0,30.27,0.0
274.97,Basalte,5.29,111.69,753.56,31.19,0.0
484.31,Gabbro,7.36,112.08,179.45,34.88,14.22
135.04,Calcaire,5.81,145.35,935.52,15.28,0.0
430.65,Gabbro,8.06,358.74,392.13,27.68,15.28
277.73,Schiste,8.14,307.07,474.19,11.86,6.21
289.04,Gabbro,6.59,424.42,421.58,23.74,14.95
178.16,Basalte,5.31,154.87,280.55,26.15,7.89
285.18,Basalte,7.41,456.91,895.04,27.23,5.64
45.84,Gabbro,8.97,374.42,332.24,11.22,9.37
384.68,Schiste,7.3,203.56,578.6,30.46,5.17
149.5,Basalte,4.66,56.68,240.03,17.63,3.63
444.93,Calcaire,4.58,135.92,797.38,11.49,0.0
190.25,Gabbro,5.94,478.82,774.2,21.28,7.72
79.98,Schiste,5.38,162.08,296.31,30.9,7.03
350.98,Calcaire,8.16,171.65,681.55,34.01,4.25
90.64,Gabbro,8.3,102.9,703.87,27.45,0.0
379.3,Schiste,5.66,405.36,562.51,5.17,7.0
484.37,Calcaire,5.97,145.07,600.6,9.04,0.76
391.98,Basalte,5.56,171.83,574.45,7.29,0.89
21.0,Gabbro,8.59,213.03,81.86,8.04,9.09
303.94,Gabbro,6.76,222.53,670.27,16.49,1.89
350.75,Basalte,7.45,211.56,469.78,15.15,4.95
414.47,Granit,6.37,256.83,438.46,8.41,5.87
37.44,Calcaire,7.34,409.11,860.0,31.47,4.2
245.25,Basalte,6.24,411.45,23.23,23.46,20.53
272.33,Gabbro,6.03,401.17,251.31,28.89,17.88
92.87,Calcaire,7.36,59.55,121.4,16.15,5.73
168.0,Calcaire,7.16,401.84,35.34,17.31,18.64
225.71,Granit,5.82,68.92,275.68,14.53,2.46
418.27,Gabbro,5.17,71.11,988.48,18.15,0.0
465.41,Schiste,6.16,474.45,270.23,23.31,19.53
317.93,Granit,6.37,411.5,663.71,19.79,7.29
203.52,Granit,7.33,280.68,118.3,30.14,14.19
134.48,Schiste,8.62,438.74,601.85,32.0,9.38
491.25,Schiste,4.66,494.79,984.48,19.09,4.89
491.68,Granit,5.6,309.21,291.84,12.19,11.63
463.24,Calcaire,5.37,310.32,848.08,33.36,6.14
394.98,Basalte,6.76,379.67,997.57,27.05,2.66
169.63,Basalte,6.43,123.75,588.55,24.2,0.0
410.33,Granit,7.78,91.89,309.4,27.36,6.23
210.31,Calcaire,5.59,382.19,673.53,7.28,3.82
170.12,Schiste,7.18,179.0,844.85,7.03,0.0
374.98,Granit,8.48,76.18,171.35,9.59,5.08
49.03,Gabbro,8.6,164.29,452.52,9.42,0.98
33.8,Calcaire,8.81,185.73,319.19,17.62,5.03
229.5,Gabbro,7.98,482.96,283.36,9.72,15.37
228.36,Gabbro,8.58,352.0,860.82,30.64,4.23
448.87,Granit,5.56,270.12,421.65,22.34,9.86
71.82,Calcaire,5.39,484.75,339.08,16.05,13.91
70.41,Gabbro,4.53,452.54,603.51,7.09,6.4
82.25,Calcaire,7.68,260.88,219.4,22.73,10.72
24.57,Basalte,8.72,453.78,229.89,8.5,12.46
45.15,Gabbro,5.34,208.11,520.29,27.3,4.31
333.34,Gabbro,7.37,122.91,409.27,29.08,7.15
221.48,Calcaire,7.86,124.01,294.98,21.32,6.07
384.17,Basalte,8.67,334.53,53.95,9.49,16.31
496.37,Gabbro,7.41,255.52,520.77,28.61,10.71
332.93,Granit,8.87,332.89,816.61,14.23,0.0
34.72,Calcaire,6.05,346.18,851.38,11.68,0.0
61.24,Calcaire,6.07,20.94,235.44,19.12,2.45
441.69,Gabbro,6.94,36.48,599.64,32.68,2.62
268.47,Basalte,6.23,271.01,855.88,13.92,0.0
414.17,Gabbro,4.51,103.61,408.73,32.17,8.81
429.74,Schiste,7.79,319.94,932.14,6.61,0.0
464.56,Gabbro,7.88,280.57,902.98,7.51,0.0
475.42,Schiste,7.86,297.02,208.13,25.96,15.51
281.86,Granit,6.05,158.2,258.96,10.72,4.87
177.1,Calcaire,6.85,323.52,180.44,14.5,12.66
481.31,Calcaire,6.12,416.45,196.05,9.09,17.52
278.23,Basalte,4.57,499.05,907.86,14.97,4.44
41.48,Gabbro,7.03,420.84,931.14,13.41,0.0
324.96,Granit,5.06,283.17,51.9,27.09,17.05
297.97,Schiste,4.86,104.78,593.6,26.06,1.16
448.94,Basalte,7.9,343.91,564.23,33.65,11.7
330.06,Granit,4.54,469.45,390.55,26.73,15.9
181.04,Granit,8.82,113.81,631.7,25.84,0.0
483.45,Schiste,6.82,135.44,947.37,25.83,0.0
402.79,Schiste,8.92,83.01,170.25,31.49,10.1
318.9,Calcaire,4.76,370.99,120.41,13.89,17.51
153.53,Gabbro,7.13,209.22,33.39,14.0,12.74
193.03,Basalte,6.07,40.72,363.83,27.24,2.79
338.29,Gabbro,8.3,438.73,337.63,11.86,15.1
45.27,Basalte,6.13,283.26,430.82,32.36,8.88
135.77,Granit,5.67,172.24,503.31,21.04,1.45
359.81,Schiste,8.36,178.55,757.82,14.0,0.0
245.21,Schiste,6.19,152.22,392.11,28.28,5.53
207.17,Granit,4.58,233.19,330.61,14.37,6.26
84.21,Granit,6.26,175.15,826.88,33.9,0.0
226.51,Basalte,7.45,278.49,849.8,34.49,1.7
387.64,Granit,5.64,389.02,232.77,25.0,16.87
139.37,Basalte,6.44,340.49,314.67,8.41,8.47
12.65,Gabbro,4.76,154.28,825.12,12.9,0.0
337.57,Schiste,7.15,269.08,79.41,20.46,14.68
486.59,Schiste,7.9,421.66,325.85,30.54,17.74
307.35,Schiste,6.36,43.42,448.35,10.55,0.0
68.76,Gabbro,6.39,48.37,187.07,8.13,2.99
167.16,Gabbro,4.9,282.52,179.91,7.23,10.94
435.14,Calcaire,5.41,323.17,424.86,20.21,11.74
123.96,Basalte,5.2,113.59,754.52,31.54,0.0
307.77,Basalte,6.67,375.16,840.23,6.27,0.1
207.31,Calcaire,6.88,326.67,979.24,11.37,0.0
111.84,Schiste,8.77,462.41,73.98,25.8,19.24
408.57,Basalte,4.83,92.79,216.68,29.78,10.58
373.99,Basalte,7.2,378.17,756.63,29.22,7.42
334.18,Schiste,6.87,50.99,540.6,28.55,0.77
125.8,Granit,6.82,286.99,327.68,8.89,5.92
57.95,Granit,8.43,280.43,205.59,16.92,8.39
292.32,Calcaire,5.42,200.31,280.48,34.54,12.57
281.3,Gabbro,4.68,423.84,429.29,34.67,16.86
102.31,Basalte,7.53,12.14,177.15,23.07,4.12
37.56,Basalte,6.05,264.89,964.23,26.28,0.0
49.55,Calcaire,4.58,116.41,107.59,33.54,11.38
496.46,Calcaire,5.63,374.31,985.58,18.5,2.73
393.96,Basalte,5.89,31.1,841.89,9.11,0.0
461.77,Schiste,7.28,417.46,423.15,25.07,14.75
105.58,Schiste,5.28,420.67,739.82,33.8,6.42
480.68,Gabbro,6.36,418.1,671.52,25.92,11.49
79.9,Basalte,6.67,84.76,213.29,29.1,6.18
259.45,Basalte,6.57,318.9,339.07,17.68,10.29
416.55,Basalte,8.88,17.04,513.12,7.89,0.0
181.4,Basalte,4.7,425.5,637.84,10.07,6.04
218.17,Calcaire,8.78,364.26,542.89,34.48,11.12
72.81,Granit,7.12,270.27,472.99,19.8,3.72
70.23,Basalte,8.08,367.99,443.15,5.36,5.39
313.59,Granit,6.44,56.22,498.26,33.66,2.54
341.01,Schiste,6.54,269.04,434.35,19.93,7.69
390.89,Gabbro,8.46,152.73,541.33,30.09,5.67
282.77,Schiste,8.53,486.58,887.99,21.45,5.04
326.42,Basalte,5.57,429.99,632.83,8.05,6.86
16.62,Schiste,5.4,369.31,722.62,23.47,3.2
89.46,Calcaire,6.73,467.54,597.48,34.92,12.09
492.61,Granit,8.55,179.95,643.02,6.04,0.0
47.24,Basalte,5.95,451.43,578.35,30.25,9.97
342.61,Calcaire,7.43,169.37,26.87,12.06,12.66
96.28,Granit,7.69,369.07,999.6,16.82,0.0
361.19,Calcaire,8.0,370.84,33.61,16.18,19.04
355.94,Schiste,7.04,18.99,395.15,31.96,3.91
124.76,Basalte,6.31,186.92,105.12,20.13,10.95
142.12,Schiste,8.85,19.52,96.93,18.42,5.06
330.84,Gabbro,7.25,498.58,793.53,29.54,10.88
201.14,Basalte,7.78,69.88,425.93,6.47,0.0
105.33,Schiste,6.05,275.98,801.14,7.59,0.0
368.52,Basalte,7.51,397.37,272.79,5.65,13.02
85.53,Granit,5.66,108.62,256.46,25.64,4.58
429.27,Basalte,5.6,247.68,251.23,20.77,12.14
262.19,Basalte,7.72,307.64,616.15,31.28,7.32
61.79,Granit,6.85,88.5,815.0,19.96,0.0
350.1,Schiste,7.57,391.49,452.26,11.65,9.97
264.39,Basalte,5.71,156.67,379.25,29.15,7.23
156.05,Calcaire,7.19,113.4,973.58,13.83,0.0
217.04,Basalte,6.5,283.56,116.75,33.07,16.86
156.19,Schiste,7.19,211.05,486.63,12.51,2.18
138.88,Granit,5.81,460.94,408.49,10.03,10.09
90.17,Schiste,7.72,441.23,98.13,19.8,16.89
187.76,Gabbro,8.13,246.84,268.2,6.52,7.77
132.98,Basalte,5.67,186.04,28.44,6.09,9.75
344.88,Basalte,5.85,169.5,876.95,19.88,0.0
345.1,Granit,7.48,141.11,607.85,11.45,0.0
255.9,Basalte,7.63,276.83,815.02,5.28,0.0
391.19,Calcaire,7.67,404.44,521.55,13.88,10.9
422.26,Calcaire,7.57,162.27,599.51,19.32,2.76
294.09,Schiste,6.27,103.15,700.85,16.83,0.0
313.28,Granit,6.28,242.99,908.01,9.06,0.0
148.61,Gabbro,5.65,43.83,91.75,22.39,8.46
448.49,Schiste,5.21,353.63,330.95,26.31,14.52
21.86,Granit,7.62,264.0,709.03,25.27,0.0
180.82,Granit,4.92,253.22,958.35,16.81,0.0
363.68,Schiste,8.72,157.22,980.81,9.13,0.0
49.24,Schiste,8.22,453.29,638.1,19.98,6.25
99.75,Basalte,8.36,54.34,193.6,31.71,6.95
298.75,Gabbro,8.58,436.21,119.21,19.06,19.52
284.4,Calcaire,6.34,194.59,946.04,10.87,0.0
372.07,Basalte,8.31,441.51,433.93,7.79,11.03
408.18,Granit,5.21,367.09,194.82,33.32,18.82
73.0,Gabbro,4.6,61.04,933.89,27.29,0.0
19.01,Gabbro,8.03,417.45,104.52,14.39,16.34
347.92,Schiste,4.84,344.27,729.57,13.86,2.91
157.68,Gabbro,8.95,25.83,625.26,31.86,0.0
316.73,Gabbro,7.54,75.51,87.73,10.33,8.33
83.77,Granit,7.89,321.46,338.75,21.05,8.68
239.83,Basalte,5.61,334.67,149.93,26.41,16.67
257.17,Gabbro,7.53,375.86,604.5,16.89,7.87
296.69,Schiste,4.69,362.92,477.11,6.2,6.83
261.45,Basalte,8.27,333.16,4.28,11.83,16.4
252.89,Schiste,5.26,385.46,975.71,32.05,2.75
173.04,Gabbro,7.64,291.79,349.58,20.69,9.73
44.88,Basalte,5.51,137.79,258.2,29.46,6.68
53.86,Gabbro,4.81,457.06,222.44,21.67,17.3
222.55,Granit,6.67,18.92,158.82,33.31,7.39
184.34,Basalte,5.26,189.62,999.14,32.27,0.0
262.91,Schiste,7.78,367.15,295.11,19.49,12.56
159.37,Granit,5.57,219.31,405.51,14.55,4.06
347.08,Calcaire,6.04,22.17,871.36,23.05,0.0
433.34,Schiste,7.05,42.33,641.89,25.25,0.0
156.44,Gabbro,5.78,327.83,368.69,19.95,10.51
104.56,Schiste,6.2,482.78,898.33,29.67,4.51
66.93,Calcaire,8.17,280.41,749.72,10.5,0.0
311.96,Schiste,5.31,258.31,227.9,15.03,11.08
227.49,Granit,4.87,165.98,643.74,25.59,0.38
